"filename", "language", "Rust", "GAS/AT&T x86/x64", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/benni/development/os_dev/EmbeddedRTOS/README.md", "Markdown", 0, 0, 25, 0, 0, 7, 32
"/home/benni/development/os_dev/EmbeddedRTOS/osmain/flashNrun.sh", "Shell Script", 0, 0, 0, 3, 1, 0, 4
"/home/benni/development/os_dev/EmbeddedRTOS/osmain/justStart.sh", "Shell Script", 0, 0, 0, 4, 4, 1, 9
"/home/benni/development/os_dev/EmbeddedRTOS/osmain/src/main.rs", "Rust", 27, 0, 0, 0, 1, 7, 35
"/home/benni/development/os_dev/EmbeddedRTOS/rt/build.rs", "Rust", 10, 0, 0, 0, 5, 7, 22
"/home/benni/development/os_dev/EmbeddedRTOS/rt/doc.md", "Markdown", 0, 0, 11, 0, 0, 9, 20
"/home/benni/development/os_dev/EmbeddedRTOS/rt/flashNrun.sh", "Shell Script", 0, 0, 0, 3, 1, 0, 4
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/asm/dispatch_mng.s", "GAS/AT&T x86/x64", 0, 40, 0, 0, 0, 10, 50
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/dev.rs", "Rust", 279, 0, 0, 0, 22, 45, 346
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/generic/cpu.rs", "Rust", 23, 0, 0, 0, 1, 2, 26
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/generic/mod.rs", "Rust", 2, 0, 0, 0, 0, 0, 2
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/generic/platform.rs", "Rust", 41, 0, 0, 0, 1, 6, 48
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/interrupts.rs", "Rust", 40, 0, 0, 0, 4, 5, 49
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/lib.rs", "Rust", 303, 0, 0, 0, 64, 40, 407
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/mem.rs", "Rust", 11, 0, 0, 0, 0, 2, 13
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/sched.rs", "Rust", 176, 0, 0, 0, 72, 31, 279
"/home/benni/development/os_dev/EmbeddedRTOS/rt/src/sys.rs", "Rust", 74, 0, 0, 0, 9, 12, 95
"/home/benni/development/os_dev/EmbeddedRTOS/userspace/src/lib.rs", "Rust", 2, 0, 0, 0, 0, 1, 3
"/home/benni/development/os_dev/EmbeddedRTOS/userspace/src/user.rs", "Rust", 33, 0, 0, 0, 1, 6, 40
"Total", "-", 1021, 40, 36, 10, 186, 191, 1484
